china_silk_road_favored_status;Request Trade Contract;Demander un contrat commercial;Handelsvertrag anfordern;;Solicitar contrato comercial;;;;;;;;;x;;;;
china_offmap_boon_decisions_enabled_trigger_raiding_tt;Has NOT raided the §Y[Root.Offmap.GetFullName]§! in the last 5 years[From.GetRaidCD];N'a pas pillé l'§Y[Root.Offmap.GetFullName]§! ces 5 dernières années[From.GetRaidCD];Hat in den letzten 5 Jahren[From.GetRaidCD] KEINEN Überfall auf §Y[Root.Offmap.GetFullName]§! durchgeführt.;;NO ha asaltado el §Y[Root.Offmap.GetFullName]§! en los últimos cinco años [From.GetRaidCD];;;;;;;;;x;;;;
china_stop_raid;Stop Raiding the [offmap_china.GetFullName];Arrêter de piller l'[offmap_china.GetFullName];Überfall auf [offmap_china.GetFullName] beenden;;Dejar de asaltar Freehold;;;;;;;;;x;;;;
china_stop_raid_desc;Raiding the §Y[Root.Offmap.GetFullName]§! is lucrative, but dangerous - we should withdraw our raiders from Valyria.\n\nWe will no longer be considered a priority target, but neither will we be able to raid Valyria again for 5 years.;Piller l'§Y[Root.Offmap.GetFullName]§! est lucratif, mais dangereux - nous devrions retirer nos pilleurs de la Chine.\n\nNous ne serions plus considérés comme une cible prioritaire et nous ne pourrions piller la Chine pendant cinq ans.;§Y[Root.Offmap.GetFullName]§! zu überfallen ist lukrativ, aber gefährlich. Wir sollten mit den Überfällen auf Freehold aufhören.\n\nWir werden nicht mehr als vorrangiges Ziel betrachtet, aber werden auch nicht in der Lage sein, Freehold für 5 Jahre zu überfallen.;;Asaltar el §Y[Root.Offmap.GetFullName]§! es lucrativo, pero peligroso. Debemos retirar a nuestros asaltantes de Freehold.\n\nDejaremos de ser considerados un objetivo prioritario, pero tampoco podremos volver a asaltar Freehold en cinco años.;;;;;;;;;x;;;;
EVTDESC_JD_4001;The raiders we sent to the [offmap_china.GetFullName] have returned home, and we will not be able to send any further raids into Valyria.;Les pilleurs que nous avons envoyés dans l'[offmap_china.GetFullName] sont revenus, et nous ne pourrons pas refaire de pillages en Chine.;Die Truppen die wir nach [offmap_china.GetFullName] auf Überfälle geschickt haben sind nach Hause zurückgekehrt und wir können keine erneuten Überfälle auf Freehold beginnen.;;Han regresado los asaltantes que enviamos al [offmap_china.GetFullName] y no podremos hacer más incursiones en Freehold.;;;;;;;;;x;;;;
EVTDESC_JD_4020_normal_raid_outcome;The raiders we sent to the [offmap_china.GetFullName] have returned. With them they are carrying plenty of loot plundered from small villages on the outskirts of the Freehold.;Les pilleurs que nous avons envoyés dans l'[offmap_china.GetFullName] sont revenus avec un abondant butin provenant des villages en bordure du Royaume du Milieu.;Die Truppen, die wir nach [offmap_china.GetFullName] auf Überfälle geschickt haben, sind zurückgekehrt. Mit ihnen kommt reichlich Beute, die aus den kleinen Dörfern der Außenbereiche des Mittleren Königreiches stammen.;;Han regresado los asaltantes que enviamos al [offmap_china.GetFullName]. Traen consigo cantidad de botín saqueado de pequeños pueblos en las afueras del Reino Central.;;;;;;;;;x;;;;
EVTDESC_JD_4020_normal_raid_outcome_character;The raiders we sent to the [offmap_china.GetFullName] have returned. This time their raids took them by the holdings of a local Valyrian noble. In addition to gold and silk, your raiders also brought you a more personal gift, a [captured_character.GetManWoman] named [captured_character.GetFullName] - likely the [captured_character.GetSonDaughter] of the noble.;Les pilleurs que nous avons envoyés dans l'[offmap_china.GetFullName] sont revenus. Cette fois, leurs pillages les ont amenés à passer par les propriétés d'un noble han. En plus de l'or et de la soie, ils ont aussi rapporté un cadeau plus personnel, un[captured_character.GetNoneE] [captured_character.GetManWoman] nommé[captured_character.GetNoneE] [captured_character.GetFullName] - probablement [captured_character.GetLeLa] [captured_character.GetSonDaughter] du noble.;Die Truppen, die wir nach [offmap_china.GetFullName] auf Überfälle geschickt haben, sind zurückgekehrt. Diesmal geschahen die Überfälle in der Nähe der Besitztümer eines Han-Adligen. Zusätzlich zu Gold und Seide, haben unsere Truppen auch ein persönlicheres Geschenk mitgebracht, eine[captured_character.GetnMale] [captured_character.GetManWoman] mit dem Namen [captured_character.GetFullName], [captured_character.Getderdie] allem Anschein nach [captured_character.Getderdie] [captured_character.GetSonDaughter] des Adligen ist.;;Han regresado los asaltantes que enviamos al [offmap_china.GetFullName]. Esta vez su incursiones les llevaron a los dominios de un noble han. Además de oro y seda, tus asaltantes también traen un regalo más personal: alguien llamado [captured_character.GetFullName], probablemente [captured_character.GetSonDaughter] del noble.;;;;;;;;;x;;;;
EVTDESC_JD_4020_normal_raid_outcome_extra;The raiders we sent to the [offmap_china.GetFullName] have returned. On their way back home from Valyria they came upon a caravan loaded with precious silks and porcelain - [Root.Religion.GetHighGodName] truly smiled upon them!;Les pilleurs que nous avons envoyés dans l'[offmap_china.GetFullName] sont revenus. Sur le chemin du retour, ils sont tombés sur une caravane chargée avec de la soie et de la porcelaine de valeur.;Die Truppen, die wir nach [offmap_china.GetFullName] auf Überfälle geschickt haben, sind zurückgekehrt. Auf ihrem Rückweg aus Freehold haben sie eine Karawane getroffen, die mit wertvoller Seide und Porzellan beladen war. [Root.Religion.GetHighGodName] begünstigt sie wahrhaftig!;;Han regresado los asaltantes que enviamos al [offmap_china.GetFullName]. Cuando volvían de Freehold se encontraron una caravana cargada de sedas y porcelanas preciosas. ¡[Root.Religion.GetHighGodName] nos sonríe!;;;;;;;;;x;;;;
artifact_raid_tt;A Valyrian artifact is added to your inventory.;Un artefact chinois est ajouté à votre inventaire.;Ein chinesisches Artefakt wird Eurem Inventar hinzugefügt.;;Se añade un artefacto chino a tu inventario.;;;;;;;;;x;;;;
EVTDESC_JD_4020_normal_raid_outcome_extra_plus;The raiders we sent to the [offmap_china.GetFullName] have returned - and they have brought countless treasures! They were able to identify and capture a Valyrian noble who was traveling undercover, who they later ransomed for an exuberant amount of gold, silk and porcelain!;Les pilleurs que nous avons envoyés dans l'[offmap_china.GetFullName] sont revenus avec des trésors innombrables ! Ils ont réussi à identifier et capturer un noble han qui voyageait secrètement, puis à le rançonner en échange d'un montant exubérant d'or, de soie et de porcelaine !;Die Truppen, die wir nach [offmap_china.GetFullName] auf Überfälle geschickt haben, sind zurückgekehrt und sie haben duzende Schätze mitgebracht! Sie waren in der Lage einen Adligen der Han-Dynastie zu identifizieren und zu fangen, den sie später für eine atemberaubende Menge Gold, Seide und Porzellan getauscht haben!;;Han regresado los asaltantes que enviamos al [offmap_china.GetFullName] ¡y traen innumerables tesoros! Consiguieron identificar y capturar a un noble han que viajaba de incógnito, ¡y como rescate sacaron una cantidad exuberante de oro, seda y porcelana!;;;;;;;;;x;;;;
raise_china_honor_guard_desc;As you, or one of our unlanded dynasty members that are in your court, are married to an Imperial Princess or Prince, you can raise their Honor Guard to fight for you in your current war.;Puisque vous ou un des membres de votre dynastie présents à votre cour êtes marié à un prince (ou une princesse) impérial, vous pouvez lever leur Garde d'Honneur pour qu'elle combatte à vos côtés dans votre guerre actuelle.;Da Ihr oder einer Eurer besitzlosen Familienmitglieder Eures Hofes mit einer kaiserlichen Prinzessin oder einem Prinzen verheiratet sind, könnt Ihr ihre Ehrenwache ausheben, um sie für Euren momentanen Krieg zu benutzen.;;Como tú o un miembro de tu dinastía sin tierras de tu corte estáis casados con una princesa o un príncipe imperial, puedes reclutar a su guardia de honor para que luche por ti en tu guerra actual.;;;;;;;;;x;;;;
china_force_to_open;Force Open the [offmap_china.GetFullName];Imposer l'[offmap_china.GetFullName] ouvert;[offmap_china.GetShortName] zwangsöffnen;;Obligar a la apertura del [offmap_china.GetFullName];;;;;;;;;x;;;;
china_invade_dragon_throne;Invade the [offmap_china.GetFullName];Envahir l'[offmap_china.GetFullName];[offmap_china.GetShortName] invadieren;;Invadir el [offmap_china.GetFullName];;;;;;;;;x;;;;
vassal_of_WP;Is a vassal of the Western Viceroy;Est vassal du Protectorat des Régions de l'Ouest;Ist ein Vasall des Westlichen Protektorats;;es vasallo del Protectorado occidental;;;;;;;;;x;;;;
china_boon_cd;§YRecently Asked for Boon§!;§YA récemment demandé une faveur à la Chine§!;§YFragte kürzlich nach einem Gefallen§!;;§YPidió un regalo hace poco§!;;;;;;;;;x;;;;
china_boon_cd_desc;You have recently asked Valyria for a Boon, you will be able to ask for another one on: §Y[Root.jd_china_boon_cd.GetExpiryDate]§!;Vous avez récemment demandé une faveur à la Chine. Vous pourrez le refaire le §Y[Root.jd_china_boon_cd.GetExpiryDate]§!;Ihr habt Freehold erst kürzlich um einen Gefallen gebeten und könnt erst am §Y[Root.jd_china_boon_cd.GetExpiryDate]§! einen weiter anfragen;;Has pedido hace poco un regalo a Freehold. Podrás pedir otro el: §Y[Root.jd_china_boon_cd.GetExpiryDate]§!;;;;;;;;;x;;;;
raise_china_honor_guard_TT;Has NOT raised the Honor Guard in the past year;N'a pas levé la Garde d'Honneur depuis un an;Hat im vergangenen Jahr NICHT die Ehrengarde ausgehoben;;NO reclutó la guardia de honor el año pasado.;;;;;;;;;x;;;;
china_tributary_cd;§YRecently Broke Free§!;§YS'est récemment libéré§!;§YErlange kürzlich seine Freiheit§!;;§YLiberado recientemente§!;;;;;;;;;x;;;;
china_tributary_cd_desc;You have recently broken free from being a Tributary of Valyria. You will be able to ask to become one again on: §Y[Root.chinese_grace_tributary_timer.GetExpiryDate]§!;Vous vous êtes récemment affranchi de votre statut de tributaire de la Chine. Vous pourrez à nouveau demander à le devenir le §Y[Root.chinese_grace_tributary_timer.GetExpiryDate]§!;Ihr habt kürzlich als ehemaliger Tributstaat von Freehold Eure Freiheit erlangt. Sie werden am §Y[Root.chinese_grace_tributary_timer.GetExpiryDate]§! erneut in der Lage sein, uns zu einem zu machen.;;Has conseguido liberarte de ser un tributario de Freehold. Podrás solicitar volver a serlo el: §Y[Root.chinese_grace_tributary_timer.GetExpiryDate]§!;;;;;;;;;x;;;;
succ_offmap_succession_desc;A new Viceroy appears often, as many noble houses from Valyria compete to have control over the Western Territories.;Un nouveau gouverneur arrive de Chine à chaque fois que le précédent meurt. C'est toujours un intendant compétent.;Ein neuer Gouverneur erscheint jedes Mal, wenn der alte stirbt. Der Gouverneur ist immer ein fähiger Kämmerer.;;Un gobernador nuevo llega de Freehold cuando muere el anterior. El gobernador siempre es un administrador competente.;;;;;;;;;x;;;;
is_not_from_china_tt;Is NOT from Valyria;N'est pas de Chine;Stamme NICHT aus Freehold;;NO es de Freehold;;;;;;;;;x;;;;
china_grace_offer_eunuch_third_party;§YEunuch Requirements§!:;§YPrérequis pour un eunuque§!:;§YAnforderungen für Eunuchen§!;;§YRequisitos de eunuco§!:;;;;;;;;;x;;;;
china_grace_offer_commander_third_party;§YCommander Requirements§!:;§YPrérequis pour un commandant§!:;§YAnforderungen für Kommandanten§!;;§YRequisitos de comandante§!:;;;;;;;;;x;;;;
china_grace_offer_physician_third_party;§YPhysician Requirements§!:;§YPrérequis pour un physicien§!:;§YAnforderungen für Ärzte§!;;§YRequisitos de médico§!:;;;;;;;;;x;;;;
china_grace_offer_artifact_third_party;§YArtifact Requirements§!:;§YPrérequis pour un artefact§!:;§YAnforderungen für Artefakte§!;;§YRequisitos de artefacto§!:;;;;;;;;;x;;;;
china_imperial_marriage_third_party;§YSpouse Requirements§!:;§YPrérequis pour un conjoint§!:;§YAnforderungen für Ehepartner§!;;§YRequisitos de cónyuge§!:;;;;;;;;;x;;;;
china_request_invasion_third_party;§YInvasion Target Requirements§!:;§YPrérequis pour une cible d'invasion§!:;§YAnforderungen für Invasion eines Dritten§!;;§YRequisitos de objetivo de invasión§!:;;;;;;;;;x;;;;
china_invade_dragon_throne_third_party;§YClaimant Requirements§!:;§YPrérequis pour un prétendant§!:;§YAnforderungen für Anspruchsteller§!;;§YRequisitos de pretendiente§!:;;;;;;;;;x;;;;
EVTDESC_JD_30045;My council informs that the Valyrians [offmap_china.Ruler.GetTitle] have sent significant forces from the heart of the Freehold, to support their outlying regions in the West. Leaning over the war table, I can only hope that my silence instills confidence in my advisors. In my own chest, I feel a mild panic rising.;Mon Conseil m'informe que l'[offmap_china.Ruler.GetTitle] chinois[offmap_china.Ruler.GetNoneE] a envoyé une quantité significative de troupes depuis le cœur du Royaume du Milieu, afin de soutenir les régions éloignées à l'ouest. Penché[Root.GetNoneE] sur la table de guerre, je ne peux qu'espérer que mon silence inspire la confiance à mes conseillers. Je sens la peur émerger en moi.;Mein Rat informierte mich, dass [offmap_china.Ruler.Getderdie] chinesische [offmap_china.Ruler.GetTitle] viele Truppen aus dem Herzen des Mittleren Königreiches entsendet hat, um die abgelegenen Regionen im Westen zu unterstützen. Ich kann nur hoffen, dass meine Berater Vertrauen in meine Handlung haben. In meiner eigenen Brust zumindest fühle ich, wie eine leichte Panik ansteigt.;;Mi consejo informa que el [offmap_china.Ruler.GetTitle] chino ha enviado un número significativo de fuerzas del corazón del Reino Central para apoyar a sus regiones periféricas el Oeste. Me inclino sobre el tablero de guerra, esperando que mi silencio inspire confianza a mis consejeros, pero por dentro siento crecer el pánico.;;;;;;;;;x;;;;
EVTTOOLTIPA_JD_30045;Imperial Valyrian troops have arrived in the region between Volantis and §YDego§!.;Les troupes impériales chinoises sont arrivées dans le couloir de §YGansu§!, près de la province de §YJiuquan§!.;Kaiserlich chinesische Truppen sind im §YGansu§!-Korridor, nahe der Provinz §YJiuquan§! eingetroffen.;;Han llegado tropas imperiales chinas al corredor de §YGansu§!, cerca de la provincia de §YJiuquan§!.;;;;;;;;;x;;;;
EVTTOOLTIPB_JD_30045;The Imperial Valyrian fleet has arrived with troops from the coast of Lys, near the province of §YIklad§!.;La flotte impériale chinoise est arrivée avec des troupes depuis l'océan indien, près de la province de §YSamatata§!.;Die kaiserlich chinesische Flotte ist mit Truppen aus dem indischen Ozean nahe der Provinz §YSamatata§! eingetroffen.;;La flota imperial china, con tropas abordo, ha llegado al Océano Índico, cerca de la provincia de §YSamatata§! ;;;;;;;;;x;;;;
EVTDESC_JD_30047;Through years of careful strategic planning, repeated tactical brilliance, and a measure of luck that makes believers of us all, we have managed to whittle down the enemy armies! I am almost beginning to dream of victory, when my generals inform me that the Valyrians [offmap_china.Ruler.GetTitle] has dispatched more forces to the West.;Grâce à des années de planification stratégique minutieuse, de génie tactique répété et d'une dose de chance qui fait de nous tous des croyants, nous avons réussi à réduire les armées ennemies ! Je commence à rêver de la victoire, lorsque mes généraux m'informent que l'[offmap_china.Ruler.GetTitle] chinois[offmap_china.Ruler.GetNoneE] a envoyé plus de forces à l'Ouest.;Durch jahrelange sorgfältige strategische Planung, wiederholtes taktisches Geschick und einer Portion Glück, haben wir es geschafft, die feindlichen Armeen niederzuschlagen! Ich beginne bereits damit vom Sieg zu träumen als mein General mich darüber informiert, dass [offmap_china.Ruler.Getderdie] chinesische [offmap_china.Ruler.GetTitle] mehr Truppen in den Westen geschickt hat.;;¡Años de planear estrategias cuidadosamente, brillantez estratégica constante y tal cantidad de suerte que nos hace creer en los milagros, nos permitieron mermar los ejércitos enemigos! Casi estaba soñando con la victoria cuando mis generales me informaron que el [offmap_china.Ruler.GetTitle] de Freehold había enviado más fuerzas a Occidente.;;;;;;;;;x;;;;
